X--Trace 1::[V(vout)],Y--Trace 1::[V(vout)]
0.003250264,0.632613717
0.003250526,0.63126661
0.003251051,0.628593475
0.003252099,0.623330422
0.003254196,0.613128636
0.003258391,0.593957072
0.003266779,0.560065225
0.003283556,0.506889111
0.003308556,0.454133467
0.003333556,0.42248008
0.003358556,0.403488048
0.003375001,0.395441726
0.003375001,0.395441636
0.003375001,0.395441354
0.003375002,0.39544019
0.003375002,0.395438793
0.003375002,0.39543836
0.003375002,0.395437494
0.003375003,0.395435764
0.003375003,0.395432302
0.003375004,0.395425379
0.003375007,0.395411534
0.003375012,0.395383845
0.003375022,0.395328476
0.003375043,0.395217772
0.003375084,0.3949965
0.003375166,0.3945545
0.00337533,0.393672669
0.003375657,0.391917647
0.003376313,0.388441882
0.003377623,0.381625258
0.003380245,0.368514397
0.003385488,0.344252105
0.003395973,0.30263543
0.003416945,0.241045976
0.003441945,0.194627585
0.003466945,0.166776551
0.003491945,0.150065931
0.0035,0.146328815
0.0035,0.146328923
0.0035,0.146329437
0.003500001,0.146332267
0.003500001,0.146335964
0.003500001,0.146337002
0.003500001,0.146338821
0.003500002,0.146340925
0.003500002,0.146340473
0.003500002,0.146340126
0.003500002,0.146339431
0.003500002,0.146338042
0.003500003,0.146335263
0.003500004,0.146329706
0.003500006,0.146318593
0.00350001,0.146296367
0.003500018,0.146251922
0.003500035,0.146163053
0.003500067,0.145985401
0.003500133,0.145630448
0.003500264,0.144921935
0.003500526,0.143510467
0.003501051,0.140709615
0.003502099,0.135195105
0.003504196,0.1245059
0.003508391,0.10441836
0.003516779,0.068907235
0.003533556,0.013190484
0.003558556,-0.04208571
0.003583556,-0.075251426
0.003608556,-0.095150856
0.003625001,-0.103581613
0.003625001,-0.103581705
0.003625001,-0.103581991
0.003625002,-0.103583162
0.003625002,-0.103584566
0.003625002,-0.103585
0.003625002,-0.103585869
0.003625003,-0.103587606
0.003625003,-0.10359108
0.003625004,-0.103598028
0.003625007,-0.103611923
0.003625012,-0.103639712
0.003625022,-0.103695281
0.003625043,-0.103806384
0.003625084,-0.104028455
0.003625166,-0.104472052
0.00362533,-0.105357068
0.003625657,-0.107118428
0.003626313,-0.110606744
0.003627623,-0.117447985
0.003630245,-0.130606194
0.003635488,-0.154956105
0.003645973,-0.196723071
0.003666945,-0.258534945
0.003691945,-0.305120967
0.003716945,-0.33307258
0.003741945,-0.349843548
0.00375,-0.353594159
0.00375,-0.353594152
0.00375,-0.353594038
0.003750001,-0.353593209
0.003750001,-0.353592062
0.003750001,-0.353591761
0.003750001,-0.353591285
0.003750002,-0.353591102
0.003750002,-0.353592523
0.003750002,-0.35359287
0.003750002,-0.353593565
0.003750002,-0.353594954
0.003750003,-0.353597733
0.003750004,-0.353603292
0.003750006,-0.353614408
0.00375001,-0.353636639
0.003750018,-0.353681095
0.003750035,-0.353769987
0.003750067,-0.353947682
0.003750133,-0.354302723
0.003750264,-0.355011411
0.003750526,-0.356423227
0.003751051,-0.359224771
0.003752099,-0.364740643
0.003754196,-0.375432488
0.003758391,-0.395524987
0.003766779,-0.431044881
0.003783556,-0.486775391
0.003808556,-0.542065235
0.003833556,-0.575239141
0.003858556,-0.595143484
0.003875001,-0.603576323
0.003875001,-0.603576416
0.003875001,-0.603576702
0.003875002,-0.603577873
0.003875002,-0.603579277
0.003875002,-0.603579711
0.003875002,-0.603580579
0.003875003,-0.603582316
0.003875003,-0.603585791
0.003875004,-0.603592739
0.003875007,-0.603606634
0.003875012,-0.603634424
0.003875022,-0.603689994
0.003875043,-0.603801099
0.003875084,-0.604023175
0.003875166,-0.60446678
0.00387533,-0.605351813
0.003875657,-0.607113207
0.003876313,-0.610601592
0.003877623,-0.617442966
0.003880245,-0.630601431
0.003885488,-0.654951817
0.003895973,-0.696719596
0.003916945,-0.758532675
0.003941945,-0.805119605
0.003966945,-0.833071763
0.003991945,-0.849843057
0.004,-0.853593742
0.004,-0.853593434
0.004,-0.85359212
0.004000001,-0.853585291
0.004000001,-0.853576495
0.004000001,-0.853573729
0.004000001,-0.853568198
0.004000002,-0.853557135
0.004000002,-0.85353501
0.004000003,-0.85349076
0.004000006,-0.853402263
0.004000011,-0.853225284
0.004000021,-0.85287138
0.004000042,-0.852163788
0.004000083,-0.850749475
0.004000165,-0.847924321
0.004000329,-0.842287878
0.004000656,-0.831070218
0.004001312,-0.808854011
0.004002622,-0.765283871
0.004005244,-0.681482557
0.004010487,-0.526404108
0.004020972,-0.260400831
0.004041944,0.133263417
0.004066944,0.42995805
0.004091944,0.60797483
0.004116944,0.714784898
0.004125001,0.738677084
0.004125001,0.738677307
0.004125001,0.738677652
0.004125002,0.738677743
0.004125002,0.738677286
0.004125002,0.738677104
0.004125002,0.73867674
0.004125003,0.738676013
0.004125003,0.738674558
0.004125004,0.738671648
0.004125007,0.738665828
0.004125012,0.738654189
0.004125022,0.738630915
0.004125043,0.738584381
0.004125084,0.738491371
0.004125166,0.738305579
0.00412533,0.737934907
0.004125657,0.737197194
0.004126313,0.735736178
0.004127623,0.732870851
0.004130245,0.727359782
0.004135488,0.717161276
0.004145973,0.699667962
0.004166945,0.673779213
0.004191945,0.654267528
0.004216945,0.642560516
0.004241945,0.63553631
0.00425,0.633965436
0.00425,0.633965468
0.00425,0.633965632
0.004250001,0.633966561
0.004250001,0.633967782
0.004250001,0.633968104
0.004250001,0.633968619
0.004250002,0.633968881
0.004250002,0.63396757
0.004250002,0.633967239
0.004250002,0.633966576
0.004250002,0.63396525
0.004250003,0.633962598
0.004250004,0.633957295
0.004250006,0.633946688
0.00425001,0.633925476
0.004250018,0.633883057
0.004250035,0.63379824
0.004250067,0.63362869
0.004250133,0.633289922
0.004250264,0.632613717
0.004250526,0.63126661
0.004251051,0.628593475
0.004252099,0.623330422
0.004254196,0.613128636
0.004258391,0.593957072
0.004266779,0.560065225
0.004283556,0.506889111
0.004308556,0.454133467
0.004333556,0.42248008
0.004358556,0.403488048
0.004375001,0.395441726
0.004375001,0.395441636
0.004375001,0.395441354
0.004375002,0.39544019
0.004375002,0.395438793
0.004375002,0.39543836
0.004375002,0.395437494
0.004375003,0.395435764
0.004375003,0.395432302
0.004375004,0.395425379
0.004375007,0.395411534
0.004375012,0.395383845
0.004375022,0.395328476
0.004375043,0.395217772
0.004375084,0.3949965
0.004375166,0.3945545
0.00437533,0.393672669
0.004375657,0.391917647
0.004376313,0.388441882
0.004377623,0.381625258
0.004380245,0.368514397
0.004385488,0.344252105
0.004395973,0.30263543
0.004416945,0.241045976
0.004441945,0.194627585
0.004466945,0.166776551
0.004491945,0.150065931
0.0045,0.146328815
0.0045,0.146328923
0.0045,0.146329437
0.004500001,0.146332267
0.004500001,0.146335964
0.004500001,0.146337002
0.004500001,0.146338821
0.004500002,0.146340925
0.004500002,0.146340473
0.004500002,0.146340126
0.004500002,0.146339431
0.004500002,0.146338042
0.004500003,0.146335263
0.004500004,0.146329706
0.004500006,0.146318593
0.00450001,0.146296367
0.004500018,0.146251922
0.004500035,0.146163053
0.004500067,0.145985401
0.004500133,0.145630448
0.004500264,0.144921935
0.004500526,0.143510467
0.004501051,0.140709615
0.004502099,0.135195105
0.004504196,0.1245059
0.004508391,0.10441836
0.004516779,0.068907236
0.004533556,0.013190484
0.004558556,-0.04208571
0.004583556,-0.075251426
0.004608556,-0.095150856
0.004625001,-0.103581613
0.004625001,-0.103581705
0.004625001,-0.103581991
0.004625002,-0.103583162
0.004625002,-0.103584566
0.004625002,-0.103585
0.004625002,-0.103585869
0.004625003,-0.103587606
0.004625003,-0.10359108
0.004625004,-0.103598028
0.004625007,-0.103611923
0.004625012,-0.103639712
0.004625022,-0.103695281
0.004625043,-0.103806384
0.004625084,-0.104028455
0.004625166,-0.104472052
0.00462533,-0.105357068
0.004625657,-0.107118428
0.004626313,-0.110606744
0.004627623,-0.117447985
0.004630245,-0.130606194
0.004635488,-0.154956105
0.004645973,-0.196723071
0.004666945,-0.258534945
0.004691945,-0.305120967
0.004716945,-0.33307258
0.004741945,-0.349843548
0.00475,-0.353594159
0.00475,-0.353594152
0.00475,-0.353594038
0.004750001,-0.353593209
0.004750001,-0.353592062
0.004750001,-0.353591761
0.004750001,-0.353591285
0.004750002,-0.353591102
0.004750002,-0.353592523
0.004750002,-0.35359287
0.004750002,-0.353593565
0.004750002,-0.353594954
0.004750003,-0.353597733
0.004750004,-0.353603292
0.004750006,-0.353614408
0.00475001,-0.353636639
0.004750018,-0.353681095
0.004750035,-0.353769987
0.004750067,-0.353947682
0.004750133,-0.354302723
0.004750264,-0.355011411
0.004750526,-0.356423227
0.004751051,-0.359224771
0.004752099,-0.364740643
0.004754196,-0.375432488
0.004758391,-0.395524987
0.004766779,-0.431044881
0.004783556,-0.486775391
0.004808556,-0.542065235
0.004833556,-0.575239141
0.004858556,-0.595143484
0.004875001,-0.603576323
0.004875001,-0.603576416
0.004875001,-0.603576702
0.004875002,-0.603577873
0.004875002,-0.603579277
0.004875002,-0.603579711
0.004875002,-0.603580579
0.004875003,-0.603582316
0.004875003,-0.603585791
0.004875004,-0.603592739
0.004875007,-0.603606634
0.004875012,-0.603634424
0.004875022,-0.603689994
0.004875043,-0.603801099
0.004875084,-0.604023175
0.004875166,-0.60446678
0.00487533,-0.605351813
0.004875657,-0.607113207
0.004876313,-0.610601592
0.004877623,-0.617442966
0.004880245,-0.630601431
0.004885488,-0.654951817
0.004895973,-0.696719596
0.004916945,-0.758532675
0.004941945,-0.805119605
0.004966945,-0.833071763
0.004991945,-0.849843057
0.005,-0.853593742
0.005,-0.853593434
0.005,-0.85359212
0.005000001,-0.853585291
0.005000001,-0.853576495
0.005000001,-0.853573729
0.005000001,-0.853568198
0.005000002,-0.853557135
0.005000002,-0.85353501
0.005000003,-0.85349076
0.005000006,-0.853402263
0.005000011,-0.853225284
0.005000021,-0.85287138
0.005000042,-0.852163788
0.005000083,-0.850749475
0.005000165,-0.847924321
0.005000329,-0.842287878
0.005000656,-0.831070218
0.005001312,-0.808854011
0.005002622,-0.765283871
0.005005244,-0.681482557
0.005010487,-0.526404108
0.005020972,-0.260400831
0.005041944,0.133263417
0.005066944,0.42995805
0.005091944,0.60797483
0.005116944,0.714784898
0.005125001,0.738677084
0.005125001,0.738677307
0.005125001,0.738677652
0.005125002,0.738677743
0.005125002,0.738677286
0.005125002,0.738677104
0.005125002,0.73867674
0.005125003,0.738676013
0.005125003,0.738674558
0.005125004,0.738671648
0.005125007,0.738665828
0.005125012,0.738654189
0.005125022,0.738630915
0.005125043,0.738584381
0.005125084,0.738491371
0.005125166,0.738305579
0.00512533,0.737934907
0.005125657,0.737197194
0.005126313,0.735736178
0.005127623,0.732870851
0.005130245,0.727359782
0.005135488,0.717161276
0.005145973,0.699667962
0.005166945,0.673779213
0.005191945,0.654267528
0.005216945,0.642560516
0.005241945,0.63553631
0.00525,0.633965436
0.00525,0.633965468
0.00525,0.633965632
0.005250001,0.633966561
0.005250001,0.633967782
0.005250001,0.633968104
0.005250001,0.633968619
0.005250002,0.633968881
0.005250002,0.63396757
0.005250002,0.633967239
0.005250002,0.633966576
0.005250002,0.63396525
0.005250003,0.633962598
0.005250004,0.633957295
0.005250006,0.633946688
0.00525001,0.633925476
0.005250018,0.633883057
0.005250035,0.63379824
0.005250067,0.63362869
0.005250133,0.633289922
0.005250264,0.632613717
0.005250526,0.63126661
0.005251051,0.628593475
0.005252099,0.623330422
0.005254196,0.613128636
0.005258391,0.593957072
0.005266779,0.560065225
0.005283556,0.506889111
0.005308556,0.454133467
0.005333556,0.42248008
0.005358556,0.403488048
0.005375001,0.395441726
0.005375001,0.395441636
0.005375001,0.395441354
0.005375002,0.39544019
0.005375002,0.395438793
0.005375002,0.39543836
0.005375002,0.395437494
0.005375003,0.395435764
0.005375003,0.395432302
0.005375004,0.395425379
0.005375007,0.395411534
0.005375012,0.395383845
0.005375022,0.395328476
0.005375043,0.395217772
0.005375084,0.3949965
0.005375166,0.3945545
0.00537533,0.393672669
0.005375657,0.391917647
0.005376313,0.388441882
0.005377623,0.381625258
0.005380245,0.368514397
0.005385488,0.344252105
0.005395973,0.30263543
0.005416945,0.241045976
0.005441945,0.194627585
0.005466945,0.166776551
0.005491945,0.150065931
0.0055,0.146328815
0.0055,0.146328923
0.0055,0.146329437
0.005500001,0.146332267
0.005500001,0.146335964
0.005500001,0.146337002
0.005500001,0.146338821
0.005500002,0.146340925
0.005500002,0.146340473
0.005500002,0.146340126
0.005500002,0.146339431
0.005500002,0.146338042
0.005500003,0.146335263
0.005500004,0.146329706
0.005500006,0.146318593
0.00550001,0.146296367
0.005500018,0.146251922
0.005500035,0.146163053
0.005500067,0.145985401
0.005500133,0.145630448
0.005500264,0.144921935
0.005500526,0.143510467
0.005501051,0.140709615
0.005502099,0.135195105
0.005504196,0.1245059
0.005508391,0.10441836
0.005516779,0.068907235
0.005533556,0.013190484
0.005558556,-0.04208571
0.005583556,-0.075251426
0.005608556,-0.095150856
0.005625001,-0.103581613
0.005625001,-0.103581705
0.005625001,-0.103581991
0.005625002,-0.103583162
0.005625002,-0.103584566
0.005625002,-0.103585
0.005625002,-0.103585869
0.005625003,-0.103587606
0.005625003,-0.10359108
0.005625004,-0.103598028
0.005625007,-0.103611923
0.005625012,-0.103639712
0.005625022,-0.103695281
0.005625043,-0.103806384
0.005625084,-0.104028455
0.005625166,-0.104472052
0.00562533,-0.105357068
0.005625657,-0.107118428
0.005626313,-0.110606744
0.005627623,-0.117447985
0.005630245,-0.130606194
0.005635488,-0.154956105
0.005645973,-0.196723071
0.005666945,-0.258534945
0.005691945,-0.305120967
0.005716945,-0.33307258
0.005741945,-0.349843548
0.00575,-0.353594159
0.00575,-0.353594152
0.00575,-0.353594038
0.005750001,-0.353593209
0.005750001,-0.353592062
0.005750001,-0.353591761
0.005750001,-0.353591285
0.005750002,-0.353591102
0.005750002,-0.353592523
0.005750002,-0.35359287
0.005750002,-0.353593565
0.005750002,-0.353594954
0.005750003,-0.353597733
0.005750004,-0.353603292
0.005750006,-0.353614408
0.00575001,-0.353636639
0.005750018,-0.353681095
0.005750035,-0.353769987
0.005750067,-0.353947682
0.005750133,-0.354302723
0.005750264,-0.355011411
0.005750526,-0.356423227
0.005751051,-0.359224771
0.005752099,-0.364740643
0.005754196,-0.375432488
0.005758391,-0.395524987
0.005766779,-0.431044881
0.005783556,-0.486775391
0.005808556,-0.542065235
0.005833556,-0.575239141
0.005858556,-0.595143484
0.005875001,-0.603576323
0.005875001,-0.603576416
0.005875001,-0.603576702
0.005875002,-0.603577873
0.005875002,-0.603579277
0.005875002,-0.603579711
0.005875002,-0.603580579
0.005875003,-0.603582316
0.005875003,-0.603585791
0.005875004,-0.603592739
0.005875007,-0.603606634
0.005875012,-0.603634424
0.005875022,-0.603689994
0.005875043,-0.603801099
0.005875084,-0.604023175
0.005875166,-0.60446678
0.00587533,-0.605351813
0.005875657,-0.607113207
0.005876313,-0.610601592
0.005877623,-0.617442966
0.005880245,-0.630601431
0.005885488,-0.654951817
0.005895973,-0.696719596
0.005916945,-0.758532675
0.005941945,-0.805119605
0.005966945,-0.833071763
0.005991945,-0.849843057
0.006,-0.853593742
0.006,-0.853593434
0.006,-0.85359212
0.006000001,-0.853585291
0.006000001,-0.853576495
0.006000001,-0.853573729
0.006000001,-0.853568198
0.006000002,-0.853557135
0.006000002,-0.85353501
0.006000003,-0.85349076
0.006000006,-0.853402263
0.006000011,-0.853225284
0.006000021,-0.85287138
0.006000042,-0.852163788
0.006000083,-0.850749475
0.006000165,-0.847924321
0.006000329,-0.842287878
0.006000656,-0.831070218
0.006001312,-0.808854011
0.006002622,-0.765283871
0.006005244,-0.681482557
0.006010487,-0.526404108
0.006020972,-0.260400831
0.006041944,0.133263417
0.006066944,0.42995805
0.006091944,0.60797483
0.006116944,0.714784898
0.006125001,0.738677084
0.006125001,0.738677307
0.006125001,0.738677652
0.006125002,0.738677743
0.006125002,0.738677286
0.006125002,0.738677104
0.006125002,0.73867674
0.006125003,0.738676013
0.006125003,0.738674558
0.006125004,0.738671648
0.006125007,0.738665828
0.006125012,0.738654189
0.006125022,0.738630915
0.006125043,0.738584381
0.006125084,0.738491371
0.006125166,0.738305579
0.00612533,0.737934907
0.006125657,0.737197194
0.006126313,0.735736178
0.006127623,0.732870851
0.006130245,0.727359782
0.006135488,0.717161276
0.006145973,0.699667962
0.006166945,0.673779213
0.006191945,0.654267528
0.006216945,0.642560516
0.006241945,0.63553631
0.00625,0.633965436
0.00625,0.633965468
0.00625,0.633965632
0.006250001,0.633966561
0.006250001,0.633967782
0.006250001,0.633968104
0.006250001,0.633968619
0.006250002,0.633968881
0.006250002,0.63396757
0.006250002,0.633967239
0.006250002,0.633966576
0.006250002,0.63396525
0.006250003,0.633962598
0.006250004,0.633957295
0.006250006,0.633946688
0.00625001,0.633925476
0.006250018,0.633883057
0.006250035,0.63379824
0.006250067,0.63362869
0.006250133,0.633289922
0.006250264,0.632613717
0.006250526,0.63126661
0.006251051,0.628593475
0.006252099,0.623330422
0.006254196,0.613128636
0.006258391,0.593957072
0.006266779,0.560065225
0.006283556,0.506889111
0.006308556,0.454133467
0.006333556,0.42248008
0.006358556,0.403488048
0.006375001,0.395441726
0.006375001,0.395441636
0.006375001,0.395441354
0.006375002,0.39544019
0.006375002,0.395438793
0.006375002,0.39543836
0.006375002,0.395437494
0.006375003,0.395435764
0.006375003,0.395432302
0.006375004,0.395425379
0.006375007,0.395411534
0.006375012,0.395383845
0.006375022,0.395328476
0.006375043,0.395217772
0.006375084,0.3949965
0.006375166,0.3945545
0.00637533,0.393672669
0.006375657,0.391917647
0.006376313,0.388441882
0.006377623,0.381625258
0.006380245,0.368514397
0.006385488,0.344252105
0.006395973,0.30263543
0.006416945,0.241045976
0.006441945,0.194627585
0.006466945,0.166776551
0.006491945,0.150065931
0.0065,0.146328815
0.0065,0.146328923
0.0065,0.146329437
0.006500001,0.146332267
0.006500001,0.146335964
0.006500001,0.146337002
0.006500001,0.146338821
0.006500002,0.146340925
0.006500002,0.146340473
0.006500002,0.146340126
0.006500002,0.146339431
0.006500002,0.146338042
0.006500003,0.146335263
0.006500004,0.146329706
0.006500006,0.146318593
0.00650001,0.146296367
0.006500018,0.146251922
0.006500035,0.146163053
0.006500067,0.145985401
0.006500133,0.145630448
0.006500264,0.144921935
0.006500526,0.143510467
0.006501051,0.140709615
0.006502099,0.135195105
0.006504196,0.1245059
0.006508391,0.10441836
0.006516779,0.068907236
0.006533556,0.013190484
0.006558556,-0.04208571
0.006583556,-0.075251426
0.006608556,-0.095150856
0.006625001,-0.103581613
0.006625001,-0.103581705
0.006625001,-0.103581991
0.006625002,-0.103583162
0.006625002,-0.103584566
0.006625002,-0.103585
0.006625002,-0.103585869
0.006625003,-0.103587606
0.006625003,-0.10359108
0.006625004,-0.103598028
